ticket_id,channel,county,area,customer_segment,plan_type,product,issue_category,issue_subcategory,intent,language,raw_message,sentiment_label,sentiment_score,priority,resolution_status,first_response_time_min,resolution_time_hours,assigned_team,agent_id,action_taken,csat_1to5,nps_-100to100,churn_risk
KECS-20251024-00025,Twitter/X,Vihiga,Market,Consumer,Home 4G Router,Data Bundles,Data Bundles,Coverage/4G/5G unavailable,Complaint,EN,"Hi KifaruTel, Coverage/4G/5G unavailable on my Data Bundles. Bundle: Daily 1GB (KES 50). ??",Negative,-0.827,High,Resolved,20,32.55,Tech-Network,AG-11615,Credited bundle; explained validity,4,,Medium
KECS-20250321-00026,Call Center,Machakos,Machakos Town,Enterprise,Home Fiber,Home Internet,Home Internet,Slow speeds,Complaint,EN,"Hi KifaruTel, Slow speeds on my Home Internet. Location: Machakos Town, Machakos. ??",Negative,-0.612,Low,Resolved,14,7.01,Tech-Fiber,AG-61201,Remote line test; reset ONT/router,1,,Medium
KECS-20250809-00027,SMS/USSD,Nakuru,Naivasha,Consumer,Postpaid,Voice & SMS,Voice & SMS,Unwanted promo SMS,Complaint,SHENG,"Hi KifaruTel, Unwanted promo SMS on my Voice & SMS. My number: 3244** (masked). saa hii ??",Negative,-0.656,Low,Resolved,23,41.44,Tech-Network,AG-88516,Provided troubleshooting steps,2,,Medium
KECS-20250210-00028,Call Center,Nandi,Stage,Consumer,Home Fiber,Mobile Money,Mobile Money,Agent/float issue,Complaint,EN,"Hi KifaruTel, Agent/float issue on my Mobile Money. Transaction ref: M958729. !!!",Negative,-0.584,Low,Resolved,11,3.26,MobileMoney,AG-12779,Blocked suspicious account and guided reporting,3,,Medium
KECS-20240229-00029,Twitter/X,Elgeyo-Marakwet,Town,Consumer,Prepaid,Voice & SMS,Voice & SMS,SMS delayed / not delivered,Inquiry,EN,Nahitaji kujua about Voice & SMS: SMS delayed / not delivered. My number: 8207** (masked). ??,Neutral,0.238,Low,Resolved,35,3.91,Tech-Network,AG-03778,Provided troubleshooting steps,5,-44,Low
KECS-20250524-00030,Facebook,Uasin Gishu,Moiben,Consumer,Prepaid,Voice & SMS,Voice & SMS,Unwanted promo SMS,Complaint,SW,"Hi KifaruTel, Unwanted promo SMS on my Voice & SMS. My number: 5054** (masked). imekataa",Negative,-0.521,Low,Escalated,82,8.13,Tech-Network,AG-21418,Logged complaint for follow-up,,,Medium
KECS-20240828-00031,Web Portal,Murang'a,Market,Consumer,Pocket WiFi,Account/App,Account/App,Profile update error,Complaint,EN,"Hi KifaruTel, Profile update error on my Account/App. My number: 2407** (masked).",Negative,-0.775,Medium,Pending,23,14.20,Care-General,AG-41247,Escalated to technical team,,,Low
KECS-20250624-00032,Retail Shop,Busia,Home,Consumer,Prepaid,Mobile Money,Mobile Money,Transaction failed / delayed,Request Refund/Reversal,EN,Naomba reversal/refund. Mobile Money: Transaction failed / delayed. Amount KES 5000. Transaction ref: M216587.,Negative,-0.991,High,Resolved,23,11.66,MobileMoney,AG-97117,Escalated to payments team,3,-63,Medium
KECS-20240203-00033,Twitter/X,Baringo,Stage,Consumer,Prepaid,Mobile Money,Mobile Money,Transaction failed / delayed,Request Refund/Reversal,EN,Naomba reversal/refund. Mobile Money: Transaction failed / delayed. Amount KES 300. Transaction ref: M469412.,Negative,-0.309,Medium,Resolved,13,10.75,MobileMoney,AG-72217,Advised PIN reset,3,-72,Medium
KECS-20250120-00034,Facebook,Kisumu,Kondele,Consumer,Prepaid,Data Bundles,Data Bundles,Data depleted too fast,Suggestion,EN,Suggestion: improve Data Bundles experience. Data depleted too fast. Bundle: Weekly 5GB (KES 200).,Neutral,0.107,Low,Resolved,48,2.40,Tech-Network,AG-47962,Ran network diagnostics; suggested 4G/5G settings,4,,Low
KECS-20240126-00035,Twitter/X,Narok,Stage,Consumer,Home Fiber,Home Internet,Home Internet,Slow speeds,Complaint,EN,"Hi KifaruTel, Slow speeds on my Home Internet. Location: Stage, Narok.",Neutral,0.115,Low,Pending,35,4.66,Tech-Fiber,AG-73947,Scheduled technician visit,,,Low
KECS-20240121-00036,WhatsApp,Bungoma,Home,SME,Prepaid,Home Internet,Home Internet,Fiber down / no internet,Complaint,EN,"Hi KifaruTel, Fiber down / no internet on my Home Internet. Location: Home, Bungoma.",Negative,-0.941,Medium,Resolved,16,16.57,Tech-Fiber,AG-77852,Scheduled technician visit,2,,Medium
KECS-20250218-00037,Call Center,Siaya,Market,Consumer,Postpaid,VAS/Subscriptions,VAS/Subscriptions,Unwanted premium subscription,Report Fraud,SW,Please help! Fraud/scam on my line. VAS/Subscriptions: Unwanted premium subscription. Amount KES 10. tafadhali ??,Negative,-0.574,Medium,Resolved,8,15.84,Billing,AG-07844,Stopped subscription; refunded charges,2,-56,Medium
KECS-20240405-00038,Call Center,Mombasa,Nyali,Consumer,Pocket WiFi,VAS/Subscriptions,VAS/Subscriptions,Unwanted premium subscription,Praise,SW,Big up KifaruTel customer care. VAS/Subscriptions issue ilirekebishwa. imepotea ??,Positive,0.986,Medium,Resolved,16,5.85,Billing,AG-47016,Blocked premium SMS on line,5,31,Low
KECS-20250312-00039,Call Center,Nyeri,Town,Consumer,Prepaid,Voice & SMS,Voice & SMS,Nuisance/silent calls,Inquiry,EN,Nauliza tu about Voice & SMS: Nuisance/silent calls. My number: 5239** (masked).,Negative,-0.477,Low,Resolved,24,4.16,Tech-Network,AG-57872,Explained charges and plan details,3,,Low
KECS-20240725-00040,Web Portal,Murang'a,Market,Consumer,Prepaid,Mobile Money,Mobile Money,Agent/float issue,Complaint,SW,"Hi KifaruTel, Agent/float issue on my Mobile Money. Transaction ref: M353961. tafadhali",Negative,-0.559,Low,Resolved,36,27.88,MobileMoney,AG-63689,Checked transaction status; advised retry,2,,Medium
KECS-20240623-00041,Mobile App Chat,Baringo,Stage,Consumer,Postpaid,Voice & SMS,Voice & SMS,SMS delayed / not delivered,Complaint,EN,"Hi KifaruTel, SMS delayed / not delivered on my Voice & SMS. My number: 5240** (masked).",Negative,-0.816,Medium,Resolved,7,7.61,Tech-Network,AG-84842,Provided troubleshooting steps,2,-25,Low
KECS-20240629-00042,SMS/USSD,Tharaka-Nithi,Town,SME,Prepaid,VAS/Subscriptions,VAS/Subscriptions,Unwanted premium subscription,Report Fraud,SW,Please help! Fraud/scam on my line. VAS/Subscriptions: Unwanted premium subscription. Amount KES 500. imekataa,Neutral,0.119,High,Pending,36,37.14,Billing,AG-04991,Blocked premium SMS on line,,,Low
KECS-20250419-00043,Retail Shop,Kitui,Home,Consumer,Prepaid,Home Internet,Home Internet,Fiber down / no internet,Complaint,SHENG,"Hi KifaruTel, Fiber down / no internet on my Home Internet. Location: Home, Kitui. maze ??",Negative,-0.330,High,Resolved,18,164.70,Tech-Fiber,AG-90453,Remote line test; reset ONT/router,3,-61,Medium
KECS-20250212-00044,WhatsApp,Trans Nzoia,Town,SME,Prepaid,Roaming & International,Roaming & International,Data roaming settings,Complaint,EN,"Hi KifaruTel, Data roaming settings on my Roaming & International. My number: 3971** (masked).",Negative,-0.886,Low,Resolved,16,6.32,Care-General,AG-90874,Reset account credentials,3,,Medium
KECS-20250614-00045,Web Portal,Nandi,Market,Consumer,Prepaid,Mobile Money,Mobile Money,Charges dispute,Complaint,SHENG,"Hi KifaruTel, Charges dispute on my Mobile Money. Transaction ref: M892911. maze",Negative,-0.546,Low,Resolved,21,4.08,MobileMoney,AG-33752,Checked transaction status; advised retry,1,-48,Medium
KECS-20240630-00046,Retail Shop,Migori,Stage,Consumer,Home Fiber,Roaming & International,Roaming & International,Roaming not working,Request Refund/Reversal,EN,Naomba reversal/refund. Roaming & International: Roaming not working. Amount KES 2000. My number: 9268** (masked).,Neutral,0.264,Medium,Pending,25,8.44,Care-General,AG-56624,Escalated to technical team,,,Low
KECS-20250220-00047,Facebook,Kiambu,Juja,Consumer,Prepaid,Mobile Money,Mobile Money,Transaction failed / delayed,Request Refund/Reversal,EN,Naomba reversal/refund. Mobile Money: Transaction failed / delayed. Amount KES 2000. Transaction ref: M319036.,Neutral,0.093,Low,Escalated,27,8.76,MobileMoney,AG-17393,Raised reversal ticket,,,Low
KECS-20251102-00048,Call Center,Nairobi,Kasarani,Consumer,Prepaid,SIM & Registration,SIM & Registration,Line blocked / SIM not working,Complaint,EN,"Hi KifaruTel, Line blocked / SIM not working on my SIM & Registration. My number: 4777** (masked). ??",Negative,-0.616,Medium,Escalated,12,13.31,Care-General,AG-08010,Guided PUK unlock,,,Low
KECS-20240810-00049,Call Center,Mandera,Home,SME,Home 4G Router,Mobile Money,Mobile Money,Transaction failed / delayed,Complaint,EN,"Hi KifaruTel, Transaction failed / delayed on my Mobile Money. Transaction ref: M471658. ??",Negative,-0.571,High,Resolved,17,52.36,MobileMoney,AG-41016,Checked transaction status; advised retry,3,-76,Low
KECS-20240609-00050,Twitter/X,Busia,Home,SME,Prepaid,Voice & SMS,Voice & SMS,SMS delayed / not delivered,Request Refund/Reversal,EN,Naomba reversal/refund. Voice & SMS: SMS delayed / not delivered. Amount KES 2000. My number: 0163** (masked).,Negative,-0.856,High,Resolved,30,35.15,Tech-Network,AG-50477,Provided troubleshooting steps,3,81,Low
KECS-20240412-00051,Call Center,Machakos,Machakos Town,Consumer,Prepaid,Mobile Money,Mobile Money,Wrong recipient / reversal request,Complaint,SHENG,"Hi KifaruTel, Wrong recipient / reversal request on my Mobile Money. Transaction ref: M112940. mbona sasa",Neutral,0.193,Medium,Escalated,24,57.76,MobileMoney,AG-39826,Checked transaction status; advised retry,,,Low
KECS-20240824-00052,Call Center,Uasin Gishu,Moiben,Consumer,Home 4G Router,Data Bundles,Data Bundles,Data depleted too fast,Request Refund/Reversal,EN,Naomba reversal/refund. Data Bundles: Data depleted too fast. Amount KES 200. Bundle: Weekly 5GB (KES 200).,Negative,-0.507,Low,Resolved,10,12.57,Tech-Network,AG-54793,Logged coverage complaint for optimization,1,-42,Medium
KECS-20240227-00053,WhatsApp,Kilifi,Home,Consumer,Pocket WiFi,VAS/Subscriptions,VAS/Subscriptions,Unwanted premium subscription,Complaint,SW,"Hi KifaruTel, Unwanted premium subscription on my VAS/Subscriptions. mko wapi",Negative,-0.757,Low,Resolved,12,37.35,Billing,AG-29096,Escalated to content partner,1,,Medium
KECS-20241119-00054,Mobile App Chat,Nairobi,Roysambu,SME,Prepaid,Data Bundles,Data Bundles,Data depleted too fast,Complaint,EN,"Hi KifaruTel, Data depleted too fast on my Data Bundles. Bundle: Social Bundle (KES 100).",Negative,-0.499,Low,Pending,4,7.97,Tech-Network,AG-10512,Credited bundle; explained validity,,,Medium
KECS-20250807-00055,Facebook,Garissa,Town,SME,Prepaid,Data Bundles,Data Bundles,Data depleted too fast,Complaint,EN,"Hi KifaruTel, Data depleted too fast on my Data Bundles. Bundle: Social Bundle (KES 100).",Negative,-0.410,Medium,Resolved,23,6.33,Tech-Network,AG-79249,Ran network diagnostics; suggested 4G/5G settings,1,-15,Low
KECS-20251015-00056,WhatsApp,Nairobi,Kasarani,SME,Prepaid,Mobile Money,Mobile Money,Wrong recipient / reversal request,Complaint,SW,"Hi KifaruTel, Wrong recipient / reversal request on my Mobile Money. Transaction ref: M535820. kwani mbona !!!",Neutral,-0.133,Low,Resolved,13,7.63,MobileMoney,AG-38427,Advised PIN reset,3,80,Low
KECS-20241207-00057,Retail Shop,Nairobi,Roysambu,Consumer,Home Fiber,Home Internet,Home Internet,Router/ONT issue,Inquiry,EN,"Need clarification about Home Internet: Router/ONT issue. Location: Roysambu, Nairobi.",Neutral,0.208,Medium,Resolved,6,15.34,Tech-Fiber,AG-84982,Advised plan upgrade/relocation process,3,35,Low
KECS-20240228-00058,Twitter/X,Vihiga,Town,Consumer,Home Fiber,Home Internet,Home Internet,Billing / plan upgrade,Complaint,EN,"Hi KifaruTel, Billing / plan upgrade on my Home Internet. Location: Town, Vihiga.",Negative,-0.824,Medium,Pending,20,28.76,Tech-Fiber,AG-86363,Remote line test; reset ONT/router,,,Low
KECS-20250523-00059,WhatsApp,Nairobi,Karen,SME,Prepaid,Data Bundles,Data Bundles,Data depleted too fast,Inquiry,EN,Nauliza tu about Data Bundles: Data depleted too fast. Bundle: Monthly 10GB (KES 1000).,Negative,-0.460,Medium,Resolved,5,10.65,Tech-Network,AG-38700,Credited bundle; explained validity,2,,Medium
KECS-20250715-00060,Call Center,Busia,Home,Consumer,Prepaid,Mobile Money,Mobile Money,Fraud / scam report,Request Refund/Reversal,SHENG,Naomba reversal/refund. Mobile Money: Fraud / scam report. Amount KES 300. Transaction ref: M429780. si poa ??,Neutral,-0.113,Medium,Pending,35,26.81,MobileMoney,AG-43898,Checked transaction status; advised retry,,,Low
KECS-20250821-00061,Call Center,Kilifi,Town,Consumer,Prepaid,Mobile Money,Mobile Money,PIN reset / locked account,Complaint,SW,"Hi KifaruTel, PIN reset / locked account on my Mobile Money. Transaction ref: M544150. hii ni noma ????",Negative,-0.927,Low,Resolved,21,32.64,MobileMoney,AG-32856,Advised PIN reset,3,-81,Medium
KECS-20250831-00062,Retail Shop,Mombasa,Changamwe,Consumer,Home Fiber,Data Bundles,Data Bundles,Hotspot/tethering issue,Inquiry,EN,How do I about Data Bundles: Hotspot/tethering issue. Bundle: Daily 200MB (KES 20).,Negative,-0.757,Medium,Resolved,47,8.20,Tech-Network,AG-17785,Refreshed data balance; advised restart phone,3,-12,Low
KECS-20240729-00063,Retail Shop,Bungoma,Town,Consumer,Home 4G Router,Mobile Money,Mobile Money,PIN reset / locked account,Praise,SHENG,Mlinisaidia haraka KifaruTel customer care. Mobile Money issue ilirekebishwa. Transaction ref: M911102. mbona sasa ...,Positive,0.483,Low,Pending,21,1.15,MobileMoney,AG-93759,Blocked suspicious account and guided reporting,,,Low
KECS-20250706-00064,Call Center,Nairobi,Westlands,SME,Prepaid,Home Internet,Home Internet,Router/ONT issue,Praise,SW,"Big up KifaruTel customer care. Home Internet issue ilirekebishwa. Location: Westlands, Nairobi. imekataa",Positive,0.466,Medium,Resolved,10,5.62,Tech-Fiber,AG-23445,Remote line test; reset ONT/router,5,,Low
KECS-20241225-00065,Call Center,Nairobi,Westlands,SME,Prepaid,Home Internet,Home Internet,Slow speeds,Complaint,EN,"Hi KifaruTel, Slow speeds on my Home Internet. Location: Westlands, Nairobi.",Negative,-0.965,Low,Resolved,9,8.10,Tech-Fiber,AG-20678,Raised outage incident; provided ETA,4,,Medium
KECS-20241224-00066,Call Center,Makueni,Home,SME,Prepaid,Mobile Money,Mobile Money,PIN reset / locked account,Complaint,EN,"Hi KifaruTel, PIN reset / locked account on my Mobile Money. Transaction ref: M567676. ...",Negative,-0.966,Medium,Pending,24,20.34,MobileMoney,AG-70146,Checked transaction status; advised retry,,,Medium
KECS-20250920-00067,Web Portal,Kajiado,Kajiado Town,Enterprise,Pocket WiFi,Mobile Money,Mobile Money,Agent/float issue,Complaint,SW,"Hi KifaruTel, Agent/float issue on my Mobile Money. Transaction ref: M330069. mtanirefund?",Negative,-0.866,Medium,Pending,29,23.22,MobileMoney,AG-23955,Advised PIN reset,,,Low
KECS-20250918-00068,Call Center,Trans Nzoia,Stage,Consumer,Prepaid,Home Internet,Home Internet,Fiber down / no internet,Complaint,SHENG,"Hi KifaruTel, Fiber down / no internet on my Home Internet. Location: Stage, Trans Nzoia. nimechoka",Negative,-0.782,High,Resolved,12,18.73,Tech-Fiber,AG-22675,Applied service credit after downtime,2,-15,Medium
KECS-20240914-00069,Email,Kiambu,Juja,Consumer,Home 4G Router,Mobile Money,Mobile Money,PIN reset / locked account,Inquiry,EN,Need clarification about Mobile Money: PIN reset / locked account. Transaction ref: M361662.,Negative,-0.301,Medium,Resolved,10,59.93,MobileMoney,AG-06762,Escalated to payments team,1,,Low
KECS-20250421-00070,Mobile App Chat,Trans Nzoia,Home,SME,Prepaid,VAS/Subscriptions,VAS/Subscriptions,Unwanted premium subscription,Complaint,SHENG,"Hi KifaruTel, Unwanted premium subscription on my VAS/Subscriptions. kuja bana",Negative,-0.683,Low,Resolved,17,9.00,Billing,AG-31069,Stopped subscription; refunded charges,2,-41,Low
KECS-20251118-00071,WhatsApp,Kiambu,Ruiru,Consumer,Prepaid,Data Bundles,Data Bundles,Data depleted too fast,Complaint,EN,"Hi KifaruTel, Data depleted too fast on my Data Bundles. Bundle: Daily 1GB (KES 50). ????",Negative,-0.758,Low,Resolved,8,13.39,Tech-Network,AG-68687,Ran network diagnostics; suggested 4G/5G settings,3,-56,Medium
KECS-20240905-00072,Mobile App Chat,Makueni,Town,Consumer,Prepaid,Voice & SMS,Voice & SMS,Nuisance/silent calls,Complaint,SW,"Hi KifaruTel, Nuisance/silent calls on my Voice & SMS. My number: 1622** (masked). mtanirefund?",Neutral,0.275,High,Resolved,14,43.34,Tech-Network,AG-14856,Reset account credentials,4,-24,Low
KECS-20240805-00073,Retail Shop,Bomet,Town,Enterprise,Prepaid,Data Bundles,Data Bundles,Coverage/4G/5G unavailable,Inquiry,EN,How do I about Data Bundles: Coverage/4G/5G unavailable. Bundle: YouTube Pack (KES 50).,Negative,-0.773,Low,Escalated,34,24.92,Tech-Network,AG-67850,Ran network diagnostics; suggested 4G/5G settings,,,Low
KECS-20240706-00074,WhatsApp,Kilifi,Market,Enterprise,Prepaid,Voice & SMS,Voice & SMS,Can't make/receive calls,Request Refund/Reversal,SW,Naomba reversal/refund. Voice & SMS: Can't make/receive calls. Amount KES 200. My number: 0293** (masked). imekwama,Negative,-0.655,High,Resolved,13,60.00,Tech-Network,AG-07229,Explained charges and plan details,2,,Medium
KECS-20250615-00075,Call Center,Nairobi,Kasarani,Consumer,Home 4G Router,Data Bundles,Data Bundles,Slow internet / buffering,Request Refund/Reversal,EN,Naomba reversal/refund. Data Bundles: Slow internet / buffering. Amount KES 100. Bundle: Night 2GB (KES 100).,Negative,-0.530,Medium,Pending,10,17.34,Tech-Network,AG-65207,Ran network diagnostics; suggested 4G/5G settings,,,Low
KECS-20250523-00076,Call Center,Kisumu,Kondele,SME,Prepaid,VAS/Subscriptions,VAS/Subscriptions,Unwanted premium subscription,Complaint,SHENG,"Hi KifaruTel, Unwanted premium subscription on my VAS/Subscriptions. si fair",Neutral,0.325,Low,Pending,19,19.59,Billing,AG-81684,Stopped subscription; educated on opt-in,,,Low
KECS-20250115-00077,Email,Murang'a,Market,Consumer,Postpaid,Data Bundles,Data Bundles,Billing for data,Complaint,EN,"Hi KifaruTel, Billing for data on my Data Bundles. Bundle: Daily 200MB (KES 20).",Neutral,0.376,Medium,Resolved,22,21.70,Tech-Network,AG-00335,Refreshed data balance; advised restart phone,3,16,Low
KECS-20240623-00078,Facebook,Nairobi,Karen,Consumer,Prepaid,Mobile Money,Mobile Money,PIN reset / locked account,Inquiry,SW,Nahitaji kujua about Mobile Money: PIN reset / locked account. Transaction ref: M150947. mtanirefund?,Negative,-0.679,Medium,Resolved,23,20.42,MobileMoney,AG-16761,Advised PIN reset,1,28,Low
KECS-20240605-00079,WhatsApp,Uasin Gishu,Eldoret,Consumer,Prepaid,Mobile Money,Mobile Money,Fraud / scam report,Request Refund/Reversal,SHENG,Naomba reversal/refund. Mobile Money: Fraud / scam report. Amount KES 20. Transaction ref: M801520. si fair ??,Negative,-0.871,Medium,Escalated,5,66.63,MobileMoney,AG-37447,Advised PIN reset,,,Medium
