ticket_id,created_at,channel,customer_id,msisdn_masked,county,area,customer_segment,plan_type,product,issue_category,issue_subcategory,intent,language,raw_message,sentiment_label,sentiment_score,priority,resolution_status,first_response_time_min,resolution_time_hours,assigned_team,agent_id,action_taken,csat_1to5,nps_-100to100,churn_risk
KECS-20240508-00017,2024-05-08 21:01:29,Email,CUST-7429671,2547756****71,Kilifi,Stage,Consumer,Prepaid,Data Bundles,Data Bundles,Data depleted too fast,Complaint,EN,"Hi KifaruTel, Data depleted too fast on my Data Bundles. Bundle: Social Bundle (KES 100).",Negative,-0.312,Medium,Resolved,21,40.26,Tech-Network,AG-39904,Credited bundle; explained validity,1,-10,Low
KECS-20240901-00018,2024-09-01 07:01:29,Call Center,CUST-1712748,2547467****46,Nairobi,Roysambu,Consumer,Prepaid,Account/App,Account/App,Airtime top-up failure,Complaint,EN,"Hi KifaruTel, Airtime top-up failure on my Account/App. My number: 7034** (masked).",Negative,-0.631,Medium,Resolved,10,14.36,Care-General,AG-93248,Provided troubleshooting steps,1,-42,Medium
KECS-20240920-00019,2024-09-20 23:44:01,Mobile App Chat,CUST-6057662,2547702****21,Meru,Meru Town,Consumer,Prepaid,Home Internet,Home Internet,Relocation request,Complaint,EN,"Hi KifaruTel, Relocation request on my Home Internet. Location: Meru Town, Meru.",Neutral,0.139,Low,Escalated,29,11.31,Tech-Fiber,AG-33963,Applied service credit after downtime,,,Low
KECS-20241230-00020,2024-12-30 15:56:20,Email,CUST-8692221,2547969****48,Mombasa,Kisauni,Consumer,Home 4G Router,Roaming & International,Roaming & International,OTP not received abroad,Complaint,SW,"Hi KifaruTel, OTP not received abroad on my Roaming & International. My number: 1343** (masked). nisaidie !!!",Negative,-0.828,Medium,Escalated,16,56.22,Care-General,AG-05045,Provided troubleshooting steps,,,Medium
KECS-20240502-00021,2024-05-02 16:52:44,Call Center,CUST-3953394,2547210****32,Nyamira,Stage,Consumer,Prepaid,Data Bundles,Data Bundles,Hotspot/tethering issue,Complaint,SHENG,"Hi KifaruTel, Hotspot/tethering issue on my Data Bundles. Bundle: TikTok Pack (KES 50). nimechoka ????",Negative,-0.578,Medium,Resolved,8,19.28,Tech-Network,AG-64090,Advised app update and cache clear,2,,Medium
KECS-20250902-00022,2025-09-02 21:39:41,SMS/USSD,CUST-1746120,2547047****26,Kisii,Stage,SME,Prepaid,Roaming & International,Roaming & International,Unexpected roaming charges,Request Refund/Reversal,SW,Naomba reversal/refund. Roaming & International: Unexpected roaming charges. Amount KES 300. My number: 6851** (masked). hii ni noma ??????,Negative,-0.437,Medium,Resolved,14,10.70,Care-General,AG-51370,Explained charges and plan details,2,,Low
KECS-20250523-00023,2025-05-23 16:37:44,Call Center,CUST-9005329,2547318****84,Meru,Nkubu,SME,Prepaid,Home Internet,Home Internet,Fiber down / no internet,Complaint,SHENG,"Hi KifaruTel, Fiber down / no internet on my Home Internet. Location: Nkubu, Meru. nimechoka",Neutral,-0.316,Medium,Resolved,14,16.16,Tech-Fiber,AG-43171,Raised outage incident; provided ETA,4,,Low
KECS-20250912-00024,2025-09-12 05:22:35,Call Center,CUST-7115921,2547249****11,Homa Bay,Town,Consumer,Prepaid,SIM & Registration,SIM & Registration,Lost SIM replacement,Complaint,EN,"Hi KifaruTel, Lost SIM replacement on my SIM & Registration. My number: 7758** (masked).",Negative,-0.702,Medium,Resolved,5,10.03,Care-General,AG-84700,Guided SIM replacement process,2,,Low
KECS-20251024-00025,2025-10-24 09:12:31,Twitter/X,CUST-5165604,2547945****14,Vihiga,Market,Consumer,Home 4G Router,Data Bundles,Data Bundles,Coverage/4G/5G unavailable,Complaint,EN,"Hi KifaruTel, Coverage/4G/5G unavailable on my Data Bundles. Bundle: Daily 1GB (KES 50). ??",Negative,-0.827,High,Resolved,20,32.55,Tech-Network,AG-11615,Credited bundle; explained validity,4,,Medium
KECS-20250321-00026,2025-03-21 21:59:59,Call Center,CUST-5254599,2547102****43,Machakos,Machakos Town,Enterprise,Home Fiber,Home Internet,Home Internet,Slow speeds,Complaint,EN,"Hi KifaruTel, Slow speeds on my Home Internet. Location: Machakos Town, Machakos. ??",Negative,-0.612,Low,Resolved,14,7.01,Tech-Fiber,AG-61201,Remote line test; reset ONT/router,1,,Medium
KECS-20250809-00027,2025-08-09 09:09:36,SMS/USSD,CUST-1596966,2547416****96,Nakuru,Naivasha,Consumer,Postpaid,Voice & SMS,Voice & SMS,Unwanted promo SMS,Complaint,SHENG,"Hi KifaruTel, Unwanted promo SMS on my Voice & SMS. My number: 3244** (masked). saa hii ??",Negative,-0.656,Low,Resolved,23,41.44,Tech-Network,AG-88516,Provided troubleshooting steps,2,,Medium
KECS-20250210-00028,2025-02-10 23:22:11,Call Center,CUST-9955271,2547774****54,Nandi,Stage,Consumer,Home Fiber,Mobile Money,Mobile Money,Agent/float issue,Complaint,EN,"Hi KifaruTel, Agent/float issue on my Mobile Money. Transaction ref: M958729. !!!",Negative,-0.584,Low,Resolved,11,3.26,MobileMoney,AG-12779,Blocked suspicious account and guided reporting,3,,Medium
KECS-20240229-00029,2024-02-29 14:22:10,Twitter/X,CUST-5466590,2547515****54,Elgeyo-Marakwet,Town,Consumer,Prepaid,Voice & SMS,Voice & SMS,SMS delayed / not delivered,Inquiry,EN,Nahitaji kujua about Voice & SMS: SMS delayed / not delivered. My number: 8207** (masked). ??,Neutral,0.238,Low,Resolved,35,3.91,Tech-Network,AG-03778,Provided troubleshooting steps,5,-44,Low
KECS-20250524-00030,2025-05-24 13:44:46,Facebook,CUST-0592962,2547229****83,Uasin Gishu,Moiben,Consumer,Prepaid,Voice & SMS,Voice & SMS,Unwanted promo SMS,Complaint,SW,"Hi KifaruTel, Unwanted promo SMS on my Voice & SMS. My number: 5054** (masked). imekataa",Negative,-0.521,Low,Escalated,82,8.13,Tech-Network,AG-21418,Logged complaint for follow-up,,,Medium
KECS-20240828-00031,2024-08-28 08:53:58,Web Portal,CUST-3750606,2547853****47,Murang'a,Market,Consumer,Pocket WiFi,Account/App,Account/App,Profile update error,Complaint,EN,"Hi KifaruTel, Profile update error on my Account/App. My number: 2407** (masked).",Negative,-0.775,Medium,Pending,23,14.20,Care-General,AG-41247,Escalated to technical team,,,Low
KECS-20250624-00032,2025-06-24 15:43:20,Retail Shop,CUST-3246095,2547396****67,Busia,Home,Consumer,Prepaid,Mobile Money,Mobile Money,Transaction failed / delayed,Request Refund/Reversal,EN,Naomba reversal/refund. Mobile Money: Transaction failed / delayed. Amount KES 5000. Transaction ref: M216587.,Negative,-0.991,High,Resolved,23,11.66,MobileMoney,AG-97117,Escalated to payments team,3,-63,Medium
KECS-20240203-00033,2024-02-03 19:32:25,Twitter/X,CUST-0548687,2547403****52,Baringo,Stage,Consumer,Prepaid,Mobile Money,Mobile Money,Transaction failed / delayed,Request Refund/Reversal,EN,Naomba reversal/refund. Mobile Money: Transaction failed / delayed. Amount KES 300. Transaction ref: M469412.,Negative,-0.309,Medium,Resolved,13,10.75,MobileMoney,AG-72217,Advised PIN reset,3,-72,Medium
KECS-20250120-00034,2025-01-20 09:53:54,Facebook,CUST-0596401,2547658****69,Kisumu,Kondele,Consumer,Prepaid,Data Bundles,Data Bundles,Data depleted too fast,Suggestion,EN,Suggestion: improve Data Bundles experience. Data depleted too fast. Bundle: Weekly 5GB (KES 200).,Neutral,0.107,Low,Resolved,48,2.40,Tech-Network,AG-47962,Ran network diagnostics; suggested 4G/5G settings,4,,Low
KECS-20240126-00035,2024-01-26 03:42:22,Twitter/X,CUST-2172715,2547518****37,Narok,Stage,Consumer,Home Fiber,Home Internet,Home Internet,Slow speeds,Complaint,EN,"Hi KifaruTel, Slow speeds on my Home Internet. Location: Stage, Narok.",Neutral,0.115,Low,Pending,35,4.66,Tech-Fiber,AG-73947,Scheduled technician visit,,,Low
KECS-20240121-00036,2024-01-21 09:58:11,WhatsApp,CUST-2680182,2547422****49,Bungoma,Home,SME,Prepaid,Home Internet,Home Internet,Fiber down / no internet,Complaint,EN,"Hi KifaruTel, Fiber down / no internet on my Home Internet. Location: Home, Bungoma.",Negative,-0.941,Medium,Resolved,16,16.57,Tech-Fiber,AG-77852,Scheduled technician visit,2,,Medium
KECS-20250218-00037,2025-02-18 08:45:04,Call Center,CUST-1027677,2547359****37,Siaya,Market,Consumer,Postpaid,VAS/Subscriptions,VAS/Subscriptions,Unwanted premium subscription,Report Fraud,SW,Please help! Fraud/scam on my line. VAS/Subscriptions: Unwanted premium subscription. Amount KES 10. tafadhali ??,Negative,-0.574,Medium,Resolved,8,15.84,Billing,AG-07844,Stopped subscription; refunded charges,2,-56,Medium
KECS-20240405-00038,2024-04-05 03:58:26,Call Center,CUST-3950047,2547974****09,Mombasa,Nyali,Consumer,Pocket WiFi,VAS/Subscriptions,VAS/Subscriptions,Unwanted premium subscription,Praise,SW,Big up KifaruTel customer care. VAS/Subscriptions issue ilirekebishwa. imepotea ??,Positive,0.986,Medium,Resolved,16,5.85,Billing,AG-47016,Blocked premium SMS on line,5,31,Low
KECS-20250312-00039,2025-03-12 09:01:31,Call Center,CUST-2694958,2547887****97,Nyeri,Town,Consumer,Prepaid,Voice & SMS,Voice & SMS,Nuisance/silent calls,Inquiry,EN,Nauliza tu about Voice & SMS: Nuisance/silent calls. My number: 5239** (masked).,Negative,-0.477,Low,Resolved,24,4.16,Tech-Network,AG-57872,Explained charges and plan details,3,,Low
KECS-20240725-00040,2024-07-25 05:50:45,Web Portal,CUST-2838578,2547652****84,Murang'a,Market,Consumer,Prepaid,Mobile Money,Mobile Money,Agent/float issue,Complaint,SW,"Hi KifaruTel, Agent/float issue on my Mobile Money. Transaction ref: M353961. tafadhali",Negative,-0.559,Low,Resolved,36,27.88,MobileMoney,AG-63689,Checked transaction status; advised retry,2,,Medium
KECS-20240623-00041,2024-06-23 15:49:31,Mobile App Chat,CUST-8330165,2547712****19,Baringo,Stage,Consumer,Postpaid,Voice & SMS,Voice & SMS,SMS delayed / not delivered,Complaint,EN,"Hi KifaruTel, SMS delayed / not delivered on my Voice & SMS. My number: 5240** (masked).",Negative,-0.816,Medium,Resolved,7,7.61,Tech-Network,AG-84842,Provided troubleshooting steps,2,-25,Low
KECS-20240629-00042,2024-06-29 08:53:53,SMS/USSD,CUST-5478872,2547874****32,Tharaka-Nithi,Town,SME,Prepaid,VAS/Subscriptions,VAS/Subscriptions,Unwanted premium subscription,Report Fraud,SW,Please help! Fraud/scam on my line. VAS/Subscriptions: Unwanted premium subscription. Amount KES 500. imekataa,Neutral,0.119,High,Pending,36,37.14,Billing,AG-04991,Blocked premium SMS on line,,,Low
KECS-20250419-00043,2025-04-19 13:01:02,Retail Shop,CUST-6841459,2547332****91,Kitui,Home,Consumer,Prepaid,Home Internet,Home Internet,Fiber down / no internet,Complaint,SHENG,"Hi KifaruTel, Fiber down / no internet on my Home Internet. Location: Home, Kitui. maze ??",Negative,-0.330,High,Resolved,18,164.70,Tech-Fiber,AG-90453,Remote line test; reset ONT/router,3,-61,Medium
KECS-20250212-00044,2025-02-12 04:09:14,WhatsApp,CUST-3910651,2547801****61,Trans Nzoia,Town,SME,Prepaid,Roaming & International,Roaming & International,Data roaming settings,Complaint,EN,"Hi KifaruTel, Data roaming settings on my Roaming & International. My number: 3971** (masked).",Negative,-0.886,Low,Resolved,16,6.32,Care-General,AG-90874,Reset account credentials,3,,Medium
KECS-20250614-00045,2025-06-14 07:00:58,Web Portal,CUST-6903311,2547907****84,Nandi,Market,Consumer,Prepaid,Mobile Money,Mobile Money,Charges dispute,Complaint,SHENG,"Hi KifaruTel, Charges dispute on my Mobile Money. Transaction ref: M892911. maze",Negative,-0.546,Low,Resolved,21,4.08,MobileMoney,AG-33752,Checked transaction status; advised retry,1,-48,Medium
KECS-20240630-00046,2024-06-30 21:05:13,Retail Shop,CUST-8733427,2547086****51,Migori,Stage,Consumer,Home Fiber,Roaming & International,Roaming & International,Roaming not working,Request Refund/Reversal,EN,Naomba reversal/refund. Roaming & International: Roaming not working. Amount KES 2000. My number: 9268** (masked).,Neutral,0.264,Medium,Pending,25,8.44,Care-General,AG-56624,Escalated to technical team,,,Low
KECS-20250220-00047,2025-02-20 00:58:12,Facebook,CUST-3854678,2547544****09,Kiambu,Juja,Consumer,Prepaid,Mobile Money,Mobile Money,Transaction failed / delayed,Request Refund/Reversal,EN,Naomba reversal/refund. Mobile Money: Transaction failed / delayed. Amount KES 2000. Transaction ref: M319036.,Neutral,0.093,Low,Escalated,27,8.76,MobileMoney,AG-17393,Raised reversal ticket,,,Low
KECS-20251102-00048,2025-11-02 03:42:32,Call Center,CUST-3120387,2547509****48,Nairobi,Kasarani,Consumer,Prepaid,SIM & Registration,SIM & Registration,Line blocked / SIM not working,Complaint,EN,"Hi KifaruTel, Line blocked / SIM not working on my SIM & Registration. My number: 4777** (masked). ??",Negative,-0.616,Medium,Escalated,12,13.31,Care-General,AG-08010,Guided PUK unlock,,,Low
KECS-20240810-00049,2024-08-10 16:15:42,Call Center,CUST-2176591,2547803****50,Mandera,Home,SME,Home 4G Router,Mobile Money,Mobile Money,Transaction failed / delayed,Complaint,EN,"Hi KifaruTel, Transaction failed / delayed on my Mobile Money. Transaction ref: M471658. ??",Negative,-0.571,High,Resolved,17,52.36,MobileMoney,AG-41016,Checked transaction status; advised retry,3,-76,Low
KECS-20240609-00050,2024-06-09 21:42:25,Twitter/X,CUST-9619431,2547142****41,Busia,Home,SME,Prepaid,Voice & SMS,Voice & SMS,SMS delayed / not delivered,Request Refund/Reversal,EN,Naomba reversal/refund. Voice & SMS: SMS delayed / not delivered. Amount KES 2000. My number: 0163** (masked).,Negative,-0.856,High,Resolved,30,35.15,Tech-Network,AG-50477,Provided troubleshooting steps,3,81,Low
KECS-20240412-00051,2024-04-12 22:06:34,Call Center,CUST-4447212,2547646****12,Machakos,Machakos Town,Consumer,Prepaid,Mobile Money,Mobile Money,Wrong recipient / reversal request,Complaint,SHENG,"Hi KifaruTel, Wrong recipient / reversal request on my Mobile Money. Transaction ref: M112940. mbona sasa",Neutral,0.193,Medium,Escalated,24,57.76,MobileMoney,AG-39826,Checked transaction status; advised retry,,,Low
KECS-20240824-00052,2024-08-24 15:14:12,Call Center,CUST-5193982,2547807****66,Uasin Gishu,Moiben,Consumer,Home 4G Router,Data Bundles,Data Bundles,Data depleted too fast,Request Refund/Reversal,EN,Naomba reversal/refund. Data Bundles: Data depleted too fast. Amount KES 200. Bundle: Weekly 5GB (KES 200).,Negative,-0.507,Low,Resolved,10,12.57,Tech-Network,AG-54793,Logged coverage complaint for optimization,1,-42,Medium
KECS-20240227-00053,2024-02-27 10:48:36,WhatsApp,CUST-1014388,2547899****14,Kilifi,Home,Consumer,Pocket WiFi,VAS/Subscriptions,VAS/Subscriptions,Unwanted premium subscription,Complaint,SW,"Hi KifaruTel, Unwanted premium subscription on my VAS/Subscriptions. mko wapi",Negative,-0.757,Low,Resolved,12,37.35,Billing,AG-29096,Escalated to content partner,1,,Medium
KECS-20241119-00054,2024-11-19 02:20:38,Mobile App Chat,CUST-8258673,2547622****34,Nairobi,Roysambu,SME,Prepaid,Data Bundles,Data Bundles,Data depleted too fast,Complaint,EN,"Hi KifaruTel, Data depleted too fast on my Data Bundles. Bundle: Social Bundle (KES 100).",Negative,-0.499,Low,Pending,4,7.97,Tech-Network,AG-10512,Credited bundle; explained validity,,,Medium
KECS-20250807-00055,2025-08-07 08:21:49,Facebook,CUST-1252866,2547929****25,Garissa,Town,SME,Prepaid,Data Bundles,Data Bundles,Data depleted too fast,Complaint,EN,"Hi KifaruTel, Data depleted too fast on my Data Bundles. Bundle: Social Bundle (KES 100).",Negative,-0.410,Medium,Resolved,23,6.33,Tech-Network,AG-79249,Ran network diagnostics; suggested 4G/5G settings,1,-15,Low
KECS-20251015-00056,2025-10-15 23:44:31,WhatsApp,CUST-7881914,2547858****51,Nairobi,Kasarani,SME,Prepaid,Mobile Money,Mobile Money,Wrong recipient / reversal request,Complaint,SW,"Hi KifaruTel, Wrong recipient / reversal request on my Mobile Money. Transaction ref: M535820. kwani mbona !!!",Neutral,-0.133,Low,Resolved,13,7.63,MobileMoney,AG-38427,Advised PIN reset,3,80,Low
KECS-20241207-00057,2024-12-07 00:51:22,Retail Shop,CUST-4948126,2547042****67,Nairobi,Roysambu,Consumer,Home Fiber,Home Internet,Home Internet,Router/ONT issue,Inquiry,EN,"Need clarification about Home Internet: Router/ONT issue. Location: Roysambu, Nairobi.",Neutral,0.208,Medium,Resolved,6,15.34,Tech-Fiber,AG-84982,Advised plan upgrade/relocation process,3,35,Low
KECS-20240228-00058,2024-02-28 15:43:31,Twitter/X,CUST-8929750,2547017****41,Vihiga,Town,Consumer,Home Fiber,Home Internet,Home Internet,Billing / plan upgrade,Complaint,EN,"Hi KifaruTel, Billing / plan upgrade on my Home Internet. Location: Town, Vihiga.",Negative,-0.824,Medium,Pending,20,28.76,Tech-Fiber,AG-86363,Remote line test; reset ONT/router,,,Low
KECS-20250523-00059,2025-05-23 10:24:14,WhatsApp,CUST-2713611,2547155****75,Nairobi,Karen,SME,Prepaid,Data Bundles,Data Bundles,Data depleted too fast,Inquiry,EN,Nauliza tu about Data Bundles: Data depleted too fast. Bundle: Monthly 10GB (KES 1000).,Negative,-0.460,Medium,Resolved,5,10.65,Tech-Network,AG-38700,Credited bundle; explained validity,2,,Medium
KECS-20250715-00060,2025-07-15 03:06:32,Call Center,CUST-6403761,2547379****27,Busia,Home,Consumer,Prepaid,Mobile Money,Mobile Money,Fraud / scam report,Request Refund/Reversal,SHENG,Naomba reversal/refund. Mobile Money: Fraud / scam report. Amount KES 300. Transaction ref: M429780. si poa ??,Neutral,-0.113,Medium,Pending,35,26.81,MobileMoney,AG-43898,Checked transaction status; advised retry,,,Low
KECS-20250821-00061,2025-08-21 08:40:57,Call Center,CUST-4630316,2547179****88,Kilifi,Town,Consumer,Prepaid,Mobile Money,Mobile Money,PIN reset / locked account,Complaint,SW,"Hi KifaruTel, PIN reset / locked account on my Mobile Money. Transaction ref: M544150. hii ni noma ????",Negative,-0.927,Low,Resolved,21,32.64,MobileMoney,AG-32856,Advised PIN reset,3,-81,Medium
KECS-20250831-00062,2025-08-31 03:56:14,Retail Shop,CUST-1913800,2547030****65,Mombasa,Changamwe,Consumer,Home Fiber,Data Bundles,Data Bundles,Hotspot/tethering issue,Inquiry,EN,How do I about Data Bundles: Hotspot/tethering issue. Bundle: Daily 200MB (KES 20).,Negative,-0.757,Medium,Resolved,47,8.20,Tech-Network,AG-17785,Refreshed data balance; advised restart phone,3,-12,Low
KECS-20240729-00063,2024-07-29 16:36:53,Retail Shop,CUST-3832060,2547385****02,Bungoma,Town,Consumer,Home 4G Router,Mobile Money,Mobile Money,PIN reset / locked account,Praise,SHENG,Mlinisaidia haraka KifaruTel customer care. Mobile Money issue ilirekebishwa. Transaction ref: M911102. mbona sasa ...,Positive,0.483,Low,Pending,21,1.15,MobileMoney,AG-93759,Blocked suspicious account and guided reporting,,,Low
KECS-20250706-00064,2025-07-06 18:09:49,Call Center,CUST-5574313,2547291****74,Nairobi,Westlands,SME,Prepaid,Home Internet,Home Internet,Router/ONT issue,Praise,SW,"Big up KifaruTel customer care. Home Internet issue ilirekebishwa. Location: Westlands, Nairobi. imekataa",Positive,0.466,Medium,Resolved,10,5.62,Tech-Fiber,AG-23445,Remote line test; reset ONT/router,5,,Low
KECS-20241225-00065,2024-12-25 21:24:23,Call Center,CUST-2100323,2547651****10,Nairobi,Westlands,SME,Prepaid,Home Internet,Home Internet,Slow speeds,Complaint,EN,"Hi KifaruTel, Slow speeds on my Home Internet. Location: Westlands, Nairobi.",Negative,-0.965,Low,Resolved,9,8.10,Tech-Fiber,AG-20678,Raised outage incident; provided ETA,4,,Medium
KECS-20241224-00066,2024-12-24 01:34:05,Call Center,CUST-8380657,2547875****40,Makueni,Home,SME,Prepaid,Mobile Money,Mobile Money,PIN reset / locked account,Complaint,EN,"Hi KifaruTel, PIN reset / locked account on my Mobile Money. Transaction ref: M567676. ...",Negative,-0.966,Medium,Pending,24,20.34,MobileMoney,AG-70146,Checked transaction status; advised retry,,,Medium
KECS-20250920-00067,2025-09-20 02:24:03,Web Portal,CUST-9929378,2547427****93,Kajiado,Kajiado Town,Enterprise,Pocket WiFi,Mobile Money,Mobile Money,Agent/float issue,Complaint,SW,"Hi KifaruTel, Agent/float issue on my Mobile Money. Transaction ref: M330069. mtanirefund?",Negative,-0.866,Medium,Pending,29,23.22,MobileMoney,AG-23955,Advised PIN reset,,,Low
KECS-20250918-00068,2025-09-18 09:13:55,Call Center,CUST-5392644,2547220****72,Trans Nzoia,Stage,Consumer,Prepaid,Home Internet,Home Internet,Fiber down / no internet,Complaint,SHENG,"Hi KifaruTel, Fiber down / no internet on my Home Internet. Location: Stage, Trans Nzoia. nimechoka",Negative,-0.782,High,Resolved,12,18.73,Tech-Fiber,AG-22675,Applied service credit after downtime,2,-15,Medium
KECS-20240914-00069,2024-09-14 05:25:36,Email,CUST-1793271,2547040****59,Kiambu,Juja,Consumer,Home 4G Router,Mobile Money,Mobile Money,PIN reset / locked account,Inquiry,EN,Need clarification about Mobile Money: PIN reset / locked account. Transaction ref: M361662.,Negative,-0.301,Medium,Resolved,10,59.93,MobileMoney,AG-06762,Escalated to payments team,1,,Low
